Dataset,Model,Accuracy,Precision,Recall,Macro_f1
ME,ResNet,0.7812,0.7720,0.7754,0.7694
ME,MobileNetV3,0.8170,0.8193,0.8073,0.8114
ME,ViT,0.7946,0.7795,0.7779,0.7778
ME,DenseNet,0.8393,0.8381,0.8358,0.8364
ME,PVTv2,0.8482,0.8472,0.8299,0.8319
ME,ConvNeXt-V2,0.8438,0.8351,0.8286,0.8248
ME,EfficientNet,0.8393,0.8348,0.8267,0.8277
ME,Spatial-Mamba-T,0.8795,0.8811,0.8728,0.8757
ME,Ours,0.8839,0.8961,0.8770,0.8821
AR,ResNet,0.6679,0.6694,0.6845,0.6745
AR,MobileNetV3,0.6588,0.6610,0.6231,0.6351
AR,ViT,0.6763,0.7228,0.6919,0.7028
AR,DenseNet,0.6781,0.7091,0.6731,0.6873
AR,PVTv2,0.7035,0.7310,0.6537,0.6808
AR,ConvNeXt-V2,0.6932,0.7387,0.7048,0.7131
AR,EfficientNet,0.6461,0.6497,0.6397,0.6437
AR,Spatial-Mamba-T,0.7023,0.7217,0.7179,0.7171
AR,Ours,0.7252,0.7411,0.7317,0.7346
PV,ResNet,0.6116,0.6155,0.5631,0.5810
PV,MobileNetV3,0.5321,0.5162,0.4996,0.5065
PV,ViT,0.6086,0.6055,0.6225,0.6114
PV,DenseNet,0.6300,0.6248,0.6399,0.6291
PV,PVTv2,0.6422,0.6408,0.6276,0.6336
PV,ConvNeXt-V2,0.6086,0.6021,0.5913,0.5930
PV,EfficientNet,0.5719,0.5411,0.5502,0.5437
PV,Spatial-Mamba-T,0.6269,0.6502,0.5989,0.6106
PV,Ours,0.7064,0.7068,0.6973,0.7012
